Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C2, C3, C5, C6, C9",0402,9,100n,
C12,0805,1,4µ7,
C4,0402,1,10n,
"C7, C8",0402,2,22p,
D1,0603,1,LED,
J1,PinHeader_2x03_P2.54mm_Vertical,1,ISP,
R1,0402,1,10K,
R2,0402,1,330,
SW1,SW_Push_1P1T-SH_NO_CK_KMR2xxG,1,SW_MEC_5G,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,FM25V05-G,
U2,SOT-23-5,1,TPS73633DBV,
U3,Texas_R-PUQFN-N12,1,TXU0304RUT,
U4,QFN-64-1EP_9x9mm_P0.5mm_EP7.65x7.65mm_ThermalVias,1,ATmega1281-16A,
U5,Z80_DIP-40_SMDSocket,1,Z80-Socket,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,16MHz,
