Designator,Mid X,Mid Y,Rotation,Layer
C1,151.749,-98.769,90.0,top
C10,150.399,-81.514,90.0,top
C11,156.399,-81.539,90.0,top
C12,145.799,-78.039,90.0,top
C13,147.499,-78.639,90.0,top
C2,149.149,-72.139,270.0,top
C3,147.699,-93.189,270.0,top
C4,145.749,-68.139,0.0,top
C5,143.799,-73.189,0.0,top
C6,147.699,-91.239,270.0,top
C7,158.149,-94.639,270.0,top
C8,153.249,-94.639,270.0,top
C9,151.999,-94.639,270.0,top
D1,155.599,-97.539,180.0,top
J1,154.114,-70.694,90.0,top
R1,149.399,-93.389,0.0,top
R2,149.599,-96.189,180.0,top
SW1,155.599,-101.289,0.0,top
U1,147.499,-100.189,270.0,top
U2,146.4115,-70.6515,0.0,top
U3,145.899,-90.789,270.0,top
U4,154.149,-87.639,90.0,top
U5,153.84195,-78.267,0.0,bottom
Y1,155.599,-94.889,180.0,top
